threshold,category,missed_attacks_fn,total_attacks_in_test,detection_rate
0.05,DoS,947,7458,0.8730222579780103
0.05,Probe,276,2421,0.885997521685254
0.05,R2L,1865,2754,0.3228031953522149
0.05,U2R,157,200,0.21499999999999997
0.1,DoS,1165,7458,0.8437919013140252
0.1,Probe,314,2421,0.8703015282940934
0.1,R2L,2318,2754,0.15831517792302108
0.1,U2R,166,200,0.17000000000000004
0.2,DoS,1265,7458,0.8303834808259587
0.2,Probe,373,2421,0.845931433292028
0.2,R2L,2477,2754,0.1005809731299927
0.2,U2R,170,200,0.15000000000000002
0.3,DoS,1300,7458,0.8256905336551355
0.3,Probe,443,2421,0.8170177612556795
0.3,R2L,2642,2754,0.04066811909949164
0.3,U2R,174,200,0.13
0.5,DoS,1342,7458,0.8200589970501475
0.5,Probe,595,2421,0.7542337876910368
0.5,R2L,2723,2754,0.01125635439360928
0.5,U2R,183,200,0.08499999999999996
0.7,DoS,1402,7458,0.8120139447573076
0.7,Probe,703,2421,0.7096241222635274
0.7,R2L,2744,2754,0.0036310820624546603
0.7,U2R,185,200,0.07499999999999996
0.9,DoS,1615,7458,0.7834540091177259
0.9,Probe,904,2421,0.6266005782734407
0.9,R2L,2753,2754,0.0003631082062454105
0.9,U2R,193,200,0.03500000000000003
