scenario,model,threshold,total_records,tp,fp,tn,fn,precision_malicious,recall_malicious,alert_rate,fp_per_10k_records
original,LogReg,0.3,22544,8268,791,8920,4565,0.9126835191522243,0.6442764747136289,0.40183640880056776,350.86941092973746
original,RandomForest,0.3,22544,9144,306,9405,3689,0.9676190476190476,0.7125379879996883,0.41918026969481903,135.7345635202271
original,GradBoost,0.3,22544,9037,287,9424,3796,0.9692192192192193,0.7042001090937426,0.41359119943222145,127.30660042583393
10pct_attack,LogReg,0.3,10790,700,791,8920,379,0.4694835680751174,0.6487488415199258,0.1381835032437442,733.0861909175162
10pct_attack,RandomForest,0.3,10790,771,306,9405,308,0.7158774373259053,0.7145505097312326,0.09981464318813717,283.595922150139
10pct_attack,GradBoost,0.3,10790,764,287,9424,315,0.7269267364414843,0.7080630213160334,0.0974050046339203,265.9870250231696
1pct_attack,LogReg,0.3,9809,58,791,8920,40,0.06831566548881036,0.5918367346938775,0.08655316546029157,806.4022836170863
1pct_attack,RandomForest,0.3,9809,75,306,9405,23,0.1968503937007874,0.7653061224489796,0.03884187990620858,311.95840554592723
1pct_attack,GradBoost,0.3,9809,76,287,9424,22,0.209366391184573,0.7755102040816326,0.037006830461820774,292.5884391885004
0_1pct_attack,LogReg,0.3,9720,5,791,8920,4,0.00628140703517588,0.5555555555555556,0.08189300411522633,813.7860082304527
0_1pct_attack,RandomForest,0.3,9720,8,306,9405,1,0.025477707006369428,0.8888888888888888,0.03230452674897119,314.8148148148148
0_1pct_attack,GradBoost,0.3,9720,8,287,9424,1,0.02711864406779661,0.8888888888888888,0.030349794238683128,295.26748971193416
