threshold,tp,fp,tn,fn,recall_malicious,precision_malicious,false_positive_rate,false_negative_rate,alert_rate
0.05,9588,1262,8449,3245,0.7471362892542663,0.8836866359447004,0.1299557203171661,0.25286371074573366,0.48128105039034774
0.1,8870,975,8736,3963,0.6911867840723136,0.9009649568308786,0.10040160642570281,0.30881321592768646,0.4367015613910575
0.15,8718,892,8819,4115,0.6793423205797553,0.9071800208116545,0.09185459787869427,0.3206576794202447,0.426277501774308
0.2,8548,855,8856,4285,0.666095223252552,0.9090715729022653,0.08804448563484708,0.333904776747448,0.4170954577714691
0.25,8393,812,8899,4440,0.6540169874542195,0.911787072243346,0.08361651735145711,0.3459830125457804,0.4083126330731015
0.3,8274,794,8917,4559,0.6447440193251773,0.9124393471548302,0.08176294923282876,0.3552559806748227,0.40223562810503904
0.35,8187,776,8935,4646,0.6379646224577262,0.9134218453642754,0.07990938111420039,0.36203537754227383,0.3975780695528744
0.4,8115,757,8954,4718,0.632354087119146,0.9146753832281335,0.07795283698898156,0.3676459128808541,0.393541518807665
0.45,8041,742,8969,4792,0.6265877035767162,0.9155186155072299,0.0764081968901246,0.3734122964232837,0.38959368346344925
0.5,7990,721,8990,4843,0.6226135743785552,0.9172310871312134,0.07424570075172485,0.3773864256214447,0.3863999290276792
0.55,7943,714,8997,4890,0.6189511415880932,0.9175233914751069,0.07352486870559159,0.3810488584119068,0.38400461320085166
0.6,7904,706,9005,4929,0.6159121016130289,0.9180023228803716,0.07270106065286788,0.3840878983869711,0.38191980127750175
0.65,7871,695,9016,4962,0.6133406062495129,0.9188652813448518,0.07156832458037277,0.386659393750487,0.3799680624556423
0.7,7799,688,9023,5034,0.6077300709109328,0.9189348415223283,0.07084749253423953,0.39226992908906727,0.37646380411639463
0.75,7724,682,9029,5109,0.6018857632665784,0.9188674756126576,0.07022963649469674,0.39811423673342167,0.3728708303761533
0.8,7639,676,9035,5194,0.5952622146029767,0.9187011425135297,0.06961178045515395,0.4047377853970233,0.36883427963094395
0.85,7545,669,9042,5288,0.5879373490220525,0.918553688823959,0.0688909484090207,0.4120626509779475,0.3643541518807665
0.9,7368,645,9066,5465,0.5741447829813762,0.9195058030700113,0.06641952425084956,0.42585521701862383,0.35543825408090846
0.95,7088,609,9102,5745,0.5523260344424531,0.9208782642588021,0.06271238801359283,0.44767396555754696,0.3414212207239177
